acc	gene	location	topology	both
Q6RKD8	Flrt1	Cell projection,Cytoplasm,Secreted,Cytoplasmic vesicle membrane,Perinuclear region,Neuron projection,Cell membrane,Cell junction,Focal adhesion,Endoplasmic reticulum membrane	Single-pass membrane protein	Cell projection,Cytoplasm,Single-pass membrane protein,Secreted,Cytoplasmic vesicle membrane,Perinuclear region,Neuron projection,Cell membrane,Cell junction,Focal adhesion,Endoplasmic reticulum membrane
O08917	Flot1	Membrane raft,Endosome,Melanosome,Cell membrane,Caveola,Membrane	Peripheral membrane protein	Membrane raft,Endosome,Melanosome,Peripheral membrane protein,Cell membrane,Caveola,Membrane
Q8BLU0	Flrt2	Extracellular matrix,Secreted,Synapse,Microsome membrane,Cell junction,Cell membrane,Extracellular space,Focal adhesion,Synaptosome,Endoplasmic reticulum membrane	Single-pass membrane protein	Single-pass membrane protein,Extracellular matrix,Secreted,Synapse,Microsome membrane,Cell junction,Cell membrane,Extracellular space,Focal adhesion,Synaptosome,Endoplasmic reticulum membrane
Q6P8X9	Cfap126	Cell projection,Cytoplasm,Cilium basal body,Cytoskeleton,Cilium,Apical cell membrane		Cell projection,Cytoplasm,Cilium basal body,Cytoskeleton,Cilium,Apical cell membrane
Q8BTM8	Flna	Growth cone,Cell projection,Cytoplasm,Cell cortex,Cytoskeleton,Perikaryon		Growth cone,Cell projection,Cytoplasm,Cell cortex,Cytoskeleton,Perikaryon
Q91X85	Flvcr2	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
Q9Z2G1	Fem1aa	Mitochondrion,Cytoplasm		Mitochondrion,Cytoplasm
Q8C0T1	Fem1ab	Mitochondrion,Cytoplasm		Mitochondrion,Cytoplasm
Q8CF02	Fam25c			
Q8BGT1	Flrt3	Growth cone membrane,Cell projection,Secreted,Axon,Cell junction,Cell membrane,Focal adhesion,Endoplasmic reticulum membrane	Single-pass membrane protein	Growth cone membrane,Cell projection,Single-pass membrane protein,Secreted,Axon,Cell junction,Cell membrane,Focal adhesion,Endoplasmic reticulum membrane
P49772	Flt3lg	Secreted,Cell membrane	Single-pass type I membrane protein	Single-pass type I membrane protein,Secreted,Cell membrane
B2RXV4	Flvcr1	Mitochondrion membrane,Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Mitochondrion membrane,Cell membrane
Q00342	Flt3	Endoplasmic reticulum lumen,Membrane	Single-pass type I membrane protein	Endoplasmic reticulum lumen,Single-pass type I membrane protein,Membrane
Q80X90	Flnb	Stress fiber,Cytoplasm,Cell cortex,Cytoskeleton,Z line,Sarcomere,Myofibril		Stress fiber,Cytoplasm,Cell cortex,Cytoskeleton,Z line,Sarcomere,Myofibril
Q8K2I3	Fmo2	Microsome membrane,Endoplasmic reticulum membrane	Single-pass membrane protein	Microsome membrane,Single-pass membrane protein,Endoplasmic reticulum membrane
P97872	Fmo5	Microsome membrane,Endoplasmic reticulum membrane		Microsome membrane,Endoplasmic reticulum membrane
Q6ZPF4	Fmnl3	Cytoplasm,Cell membrane	Lipid-anchor	Lipid-anchor,Cytoplasm,Cell membrane
Q05860	Fmn1	Cytoplasm,Adherens junction,Cytoskeleton,Nucleus,Cell junction,Cell membrane	Peripheral membrane protein	Cytoplasm,Adherens junction,Cytoskeleton,Peripheral membrane protein,Nucleus,Cell junction,Cell membrane
Q9CR13	Fmc1	Mitochondrion		Mitochondrion
P50608	Fmod	Extracellular matrix,Extracellular space,Secreted		Extracellular matrix,Extracellular space,Secreted
Q9JL04	Fmn2	Cytoplasm,Cell cortex,Cytoskeleton,Cytosol,Nucleus,Cytoplasmic vesicle membrane,Perinuclear region,Nucleolus,Cell membrane	Peripheral membrane protein	Cytoplasm,Cell cortex,Cytoskeleton,Cytosol,Nucleus,Cytoplasmic vesicle membrane,Perinuclear region,Nucleolus,Cell membrane,Peripheral membrane protein
P97501	Fmo3	Microsome membrane,Endoplasmic reticulum membrane	Single-pass membrane protein	Microsome membrane,Single-pass membrane protein,Endoplasmic reticulum membrane
P50285	Fmo1	Microsome membrane,Endoplasmic reticulum membrane	Single-pass membrane protein	Microsome membrane,Single-pass membrane protein,Endoplasmic reticulum membrane
Q8VHX6	Flnc	Cytoplasm,Cytoskeleton,Membrane,Z line,Sarcomere,Myofibril	Peripheral membrane protein	Cytoplasm,Cytoskeleton,Membrane,Z line,Sarcomere,Peripheral membrane protein,Myofibril
Q9JL26	Fmnl1	Cytoplasmic vesicle,Phagosome,Cytoplasm,Cell membrane	Lipid-anchor	Lipid-anchor,Cytoplasm,Phagosome,Cytoplasmic vesicle,Cell membrane
Q8VHG0	Fmo4	Microsome membrane,Endoplasmic reticulum membrane	Single-pass membrane protein	Microsome membrane,Single-pass membrane protein,Endoplasmic reticulum membrane
Q80ZA7	Fmr1nb	Membrane	Multi-pass membrane protein	Multi-pass membrane protein,Membrane
A2APV2	Fmnl2	Cytoplasm		Cytoplasm
P35922	Fmr1	Filopodium tip,Centromere,Nucleus,Synapse,Nucleolus,Cytoplasmic ribonucleoprotein granule,Dendrite,Synaptosome,Filopodium,Cell projection,Cytoplasm,Stress granule,Dendritic spine,Cell junction,Nucleoplasm,Chromosome,Cell membrane,Postsynaptic cell membrane,Growth cone,Perikaryon,Axon,Perinuclear region,Neuron projection,Presynaptic cell membrane		Filopodium tip,Centromere,Nucleus,Synapse,Nucleolus,Cytoplasmic ribonucleoprotein granule,Dendrite,Synaptosome,Filopodium,Cell projection,Cytoplasm,Stress granule,Dendritic spine,Cell junction,Nucleoplasm,Chromosome,Cell membrane,Postsynaptic cell membrane,Growth cone,Perikaryon,Axon,Perinuclear region,Neuron projection,Presynaptic cell membrane
Q9D799	Mtfmt	Mitochondrion		Mitochondrion
Q8BX90	Fndc3a	Golgi apparatus membrane	Single-pass membrane protein	Golgi apparatus membrane,Single-pass membrane protein
Q9D2H8	Fndc8			
Q6DFV6	Fndc3c1	Membrane	Single-pass membrane protein	Membrane,Single-pass membrane protein
Q8BJN4	Fndc9	Membrane	Single-pass membrane protein	Membrane,Single-pass membrane protein
Q6NWW9	Fndc3b	Membrane	Single-pass membrane protein	Membrane,Single-pass membrane protein
Q9ER35	Fn3k			
Q80TY0	Fnbp1	Clathrin-coated pit,Cytoplasm,Cell cortex,Cytoskeleton,Lysosome,Cytoplasmic vesicle,Cell membrane,Membrane	Peripheral membrane protein	Clathrin-coated pit,Cytoplasm,Cell cortex,Cytoskeleton,Lysosome,Cytoplasmic vesicle,Cell membrane,Peripheral membrane protein,Membrane
O35615	Zfpm1	Nucleus		Nucleus
Q3TR08	Fndc4	Secreted,Membrane	Single-pass type I membrane protein	Single-pass type I membrane protein,Secreted,Membrane
Q8K2I1	Fntb			
Q6ZQ03	Fnbp4			
Q8K4Z2	Fndc5	Peroxisome membrane,Secreted,Cell membrane	Single-pass type I membrane protein	Peroxisome membrane,Single-pass type I membrane protein,Secreted,Cell membrane
Q68FD7	Fnip1	Cytosol,Cytoplasm,Lysosome membrane		Cytosol,Cytoplasm,Lysosome membrane
Q8CCH7	Zfpm2	Nucleus		Nucleus
A2A9Q0	Fndc10	Membrane	Single-pass type I membrane protein	Single-pass type I membrane protein,Membrane
A2AED3	Fndc7	Secreted		Secreted
Q80WB0	Fndc11			
Q61239	Fnta			
Q80TD3	Fnip2	Cytoplasm,Lysosome membrane		Cytoplasm,Lysosome membrane
P48760	Fpgs	Mitochondrion matrix,Mitochondrion inner membrane,Cytoplasm		Mitochondrion matrix,Mitochondrion inner membrane,Cytoplasm
A2AKG8	Focad	Focal adhesion,Cell junction,Membrane	Multi-pass membrane protein	Multi-pass membrane protein,Focal adhesion,Cell junction,Membrane
P35846	Folr1	Clathrin-coated vesicle,Endosome,Secreted,Cytoplasmic vesicle,Apical cell membrane,Cell membrane	Lipid-anchor,GPI-anchor	Clathrin-coated vesicle,Lipid-anchor,Endosome,Secreted,Cytoplasmic vesicle,Apical cell membrane,Cell membrane,GPI-anchor
P48755	Fosl1	Nucleus		Nucleus
Q05685	Folr2	Cell membrane	Lipid-anchor,GPI-anchor	GPI-anchor,Lipid-anchor,Cell membrane
O35409	Folh1	Cell membrane	Single-pass type II membrane protein	Single-pass type II membrane protein,Cell membrane
P47930	Fosl2	Nucleus		Nucleus
P35584	Foxa3	Nucleus		Nucleus
P13346	Fosb	Nucleus		Nucleus
Q61345	Foxd1	Nucleus		Nucleus
Q60987	Foxg1	Nucleus		Nucleus
Q61660	Foxj1	Nucleus		Nucleus
O88470	Foxl2	Nucleus		Nucleus
P01101	Fos	Cytosol,Nucleus,Cytoplasm,Endoplasmic reticulum		Cytosol,Nucleus,Cytoplasm,Endoplasmic reticulum
Q8K3Q3	Foxn4	Nucleus		Nucleus
Q9QY14	Foxe3	Nucleus		Nucleus
Q64732	Foxb1	Nucleus		Nucleus
O35392	Foxd2	Nucleus		Nucleus
Q9ES18	Foxj2	Nucleus		Nucleus
Q64733	Foxb2	Nucleus		Nucleus
P35582	Foxa1	Nucleus		Nucleus
O08696	Foxm1	Nucleus		Nucleus
Q61080	Foxf1	Nucleus		Nucleus
O88621	Foxh1	Nucleus		Nucleus
Q61060	Foxd3	Nucleus		Nucleus
Q8BUR3	Foxj3	Nucleus		Nucleus
O54743	Foxf2	Nucleus		Nucleus
P58463	Foxp2	Nucleus		Nucleus
Q60688	Foxd4	Nucleus		Nucleus
P35583	Foxa2	Nucleus,Cytoplasm		Nucleus,Cytoplasm
Q61575	Foxn1	Nucleus		Nucleus
Q922I5	Foxi1	Nucleus		Nucleus
Q3I5G5	Foxi2	Nucleus		Nucleus
P42128	Foxk1	Nucleus,Cytoplasm		Nucleus,Cytoplasm
Q8R2I0	Foxe1	Nucleus		Nucleus
Q3UM89	Foxr2	Nucleus		Nucleus
Q499D0	Foxn3	Nucleus		Nucleus
Q9R1E0	Foxo1	Nucleus,Cytoplasm		Nucleus,Cytoplasm
Q61574	Foxs1	Nucleus		Nucleus
A2ACJ2	Faap100	Nucleus		Nucleus
Q61572	Foxc1	Nucleus		Nucleus
Q3UCQ1	Foxk2	Nucleus,Cytoplasm		Nucleus,Cytoplasm
G5E8F4	Fpgt	Cytoplasm		Cytoplasm
Q99JB6	Foxp3	Nucleus,Cytoplasm		Nucleus,Cytoplasm
Q64731	Foxl1	Nucleus		Nucleus
Q9DBY0	Foxp4	Nucleus		Nucleus
Q61850	Foxc2	Nucleus		Nucleus
P58462	Foxp1	Nucleus		Nucleus
O70220	Foxq1	Nucleus		Nucleus
Q9WVH4	Foxo3	Cytoplasm,Mitochondrion matrix,Cytosol,Nucleus,Mitochondrion outer membrane	Peripheral membrane protein	Cytoplasm,Mitochondrion matrix,Cytosol,Nucleus,Peripheral membrane protein,Mitochondrion outer membrane
Q3UTB7	Foxr1	Nucleus		Nucleus
Q9WVH3	Foxo4	Nucleus,Cytoplasm		Nucleus,Cytoplasm
Q70KY4	Foxo6	Nucleus,Cytoplasm		Nucleus,Cytoplasm
Q9WV91	Ptgfrn	Trans-Golgi network membrane,Golgi apparatus,Endoplasmic reticulum membrane	Single-pass type I membrane protein	Single-pass type I membrane protein,Trans-Golgi network membrane,Golgi apparatus,Endoplasmic reticulum membrane
O08790	Fpr-s1	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
P0DM40	Fer1l5	Membrane,Cell membrane	Single-pass membrane protein	Membrane,Cell membrane,Single-pass membrane protein
O88537	Fpr-rs3	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
A4FUQ5	Fpr-rs4	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
P33766	Fpr1	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
Q3SXG2	Fpr-rs6	Membrane	Multi-pass membrane protein	Multi-pass membrane protein,Membrane
Q71MR7	Fpr-rs7	Membrane	Multi-pass membrane protein	Multi-pass membrane protein,Membrane
Q80T14	Fras1	Cell membrane	Single-pass type I membrane protein	Single-pass type I membrane protein,Cell membrane
P70339	Frat1	Cytoplasm		Cytoplasm
Q8K025	Frat2			
Q920E5	Fdps	Cytoplasm		Cytoplasm
O88536	Fpr2	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
A3KGK3	Fer1l4	Membrane	Single-pass membrane protein	Membrane,Single-pass membrane protein
O35943	Fxn	Cytosol,Mitochondrion,Cytoplasm		Cytosol,Mitochondrion,Cytoplasm
Q5H8B9	Frem3	Extracellular matrix,Extracellular space,Secreted		Extracellular matrix,Extracellular space,Secreted
P29391	Ftl1			
P49945	Ftl2			
Q922K9	Frk	Nucleus,Cytoplasm		Nucleus,Cytoplasm
Q8C456	Wdpcp	Cytoplasm,Cilium basal body,Cytoskeleton,Cilium axoneme,Cell membrane		Cytoplasm,Cilium basal body,Cytoskeleton,Cilium axoneme,Cell membrane
P97376	Frg1	Cytoplasm,Cajal body,Nucleus,Z line,Nucleolus,Sarcomere,Myofibril		Cytoplasm,Cajal body,Nucleus,Z line,Nucleolus,Sarcomere,Myofibril
P09528	Fth1			
Q684R7	Frem1	Extracellular matrix,Extracellular space,Secreted,Basement membrane		Extracellular matrix,Extracellular space,Secreted,Basement membrane
A2AD83	Frmd7	Neuron projection,Cell projection,Growth cone		Neuron projection,Cell projection,Growth cone
A2AFR3	Frmpd4	Cell projection,Dendritic spine		Cell projection,Dendritic spine
Q8BIE6	Frmd4a	Tight junction,Cytoplasm,Cytoskeleton,Adherens junction,Cell junction		Tight junction,Cytoplasm,Cytoskeleton,Adherens junction,Cell junction
Q3UFK8	Frmd8	Cytosol,Cytoplasm,Cell membrane		Cytosol,Cytoplasm,Cell membrane
Q6NVD0	Frem2	Cell membrane	Single-pass type I membrane protein	Single-pass type I membrane protein,Cell membrane
Q8BHD4	Frmd3	Membrane	Single-pass membrane protein	Membrane,Single-pass membrane protein
Q920B0	Frmd4b	Tight junction,Cytoplasm,Cytoskeleton,Adherens junction,Cell junction		Tight junction,Cytoplasm,Cytoskeleton,Adherens junction,Cell junction
Q6P5H6	Frmd5	Adherens junction,Cell junction		Adherens junction,Cell junction
Q8C180	Frs2	Membrane	Lipid-anchor	Lipid-anchor,Membrane
Q8K385	FRRS1	Membrane	Multi-pass membrane protein	Multi-pass membrane protein,Membrane
Q8C0V9	Frmd6	Cytoplasm,Cell membrane	Peripheral membrane protein	Cytoplasm,Cell membrane,Peripheral membrane protein
Q91WJ0	Frs3	Membrane	Lipid-anchor	Lipid-anchor,Membrane
Q8BKE5	Fsbp	Nucleus		Nucleus
Q0VAX3	Fads2b	Endoplasmic reticulum membrane	Multi-pass membrane protein	Multi-pass membrane protein,Endoplasmic reticulum membrane
A2AKB4	Frmpd1	Cytosol,Cytoplasm,Cell membrane	Peripheral membrane protein	Cytosol,Cytoplasm,Cell membrane,Peripheral membrane protein
Q32M02	Fscn2	Cytoskeleton,Stereocilium,Cell projection,Cytoplasm		Cytoskeleton,Stereocilium,Cell projection,Cytoplasm
B1AXV0	Frrs1l	Synapse,Cell junction,Cell membrane		Synapse,Cell junction,Cell membrane
Q9QXW4	Fscn3	Cytoskeleton,Cytoplasm		Cytoskeleton,Cytoplasm
Q60687	Fshb	Secreted		Secreted
A1EGX6	Fscb	Cilium,Flagellum,Cell projection		Cilium,Flagellum,Cell projection
Q8BYN5	Fsd1l			
E9Q8I9	Fry	Centrosome,Cytoplasm,Microtubule organizing center,Cytoskeleton,Spindle pole		Centrosome,Cytoplasm,Microtubule organizing center,Cytoskeleton,Spindle pole
Q5STE3	Fstl4	Secreted		Secreted
Q7TPM6	Fsd1	Centrosome,Cytoplasm,Cleavage furrow,Microtubule organizing center,Cytoskeleton,Nucleus		Centrosome,Cytoplasm,Cleavage furrow,Microtubule organizing center,Cytoskeleton,Nucleus
P35378	Fshr	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
Q8BFR2	Fstl5	Secreted		Secreted
Q8BUE4	Aifm2	Cytoplasm,Lipid droplet,Nucleus,Cell membrane,Mitochondrion membrane	Lipid-anchor	Cytoplasm,Lipid-anchor,Lipid droplet,Nucleus,Cell membrane,Mitochondrion membrane
Q8BZ52	Fsd2	Cytoplasm,Nucleus,Sarcoplasmic reticulum,Perinuclear region		Cytoplasm,Nucleus,Sarcoplasmic reticulum,Perinuclear region
Q91XD4	Ftcd	Centrosome,Golgi apparatus,Cytoplasm,Microtubule organizing center,Cytoskeleton,Centriole		Centrosome,Golgi apparatus,Cytoplasm,Microtubule organizing center,Cytoskeleton,Centriole
Q61553	Fscn1	Growth cone,Filopodium,Cell projection,Stress fiber,Cytoplasm,Cell cortex,Invadopodium,Cytoskeleton,Cytosol,Microvillus,Cell junction		Growth cone,Filopodium,Cell projection,Stress fiber,Cytoplasm,Cell cortex,Invadopodium,Cytoskeleton,Cytosol,Microvillus,Cell junction
Q62356	Fstl1	Secreted		Secreted
P47931	Fst	Secreted		Secreted
Q9D3V5	Fsip1			
Q9EQC7	Fstl3	Secreted,Nucleus		Secreted,Nucleus
A2ARZ3	Fsip2			
Q9D5H4	Ftmt	Mitochondrion		Mitochondrion
Q8BGW1	Fto	Nucleus,Cytoplasm,Nucleus speckle		Nucleus,Cytoplasm,Nucleus speckle
Q8CG73	Rpgrip1l	Centrosome,Tight junction,Cytoplasm,Cilium basal body,Microtubule organizing center,Cytoskeleton,Cilium axoneme,Cell junction		Centrosome,Tight junction,Cytoplasm,Cilium basal body,Microtubule organizing center,Cytoskeleton,Cilium axoneme,Cell junction
Q91WJ8	Fubp1	Nucleus		Nucleus
Q3U0V1	Khsrp	Nucleus,Cytoplasm		Nucleus,Cytoplasm
Q99KR8	Fuca2	Secreted		Secreted
Q8R2K1	Fuom			
Q8BLX4	Slc35c1	Golgi apparatus membrane	Multi-pass membrane protein	Multi-pass membrane protein,Golgi apparatus membrane
Q99LJ1	Fuca1	Lysosome		Lysosome
Q9D6K8	Fundc2	Mitochondrion outer membrane,Nucleus	Multi-pass membrane protein	Multi-pass membrane protein,Mitochondrion outer membrane,Nucleus
P97807	Fh	Mitochondrion,Cytoplasm,Cytosol,Nucleus,Chromosome		Mitochondrion,Cytoplasm,Cytosol,Nucleus,Chromosome
P23188	Furin	Endosome membrane,Golgi apparatus,Secreted,Cell membrane,Trans-Golgi network membrane	Single-pass type I membrane protein	Endosome membrane,Single-pass type I membrane protein,Golgi apparatus,Secreted,Cell membrane,Trans-Golgi network membrane
Q9DB70	Fundc1	Mitochondrion outer membrane	Multi-pass membrane protein	Multi-pass membrane protein,Mitochondrion outer membrane
Q5F2L2	Fut10	Golgi apparatus membrane,Endoplasmic reticulum membrane	Single-pass type II membrane protein	Single-pass type II membrane protein,Golgi apparatus membrane,Endoplasmic reticulum membrane
O88819	Fut9	Golgi apparatus,Golgi apparatus membrane,Trans-Golgi network membrane	Single-pass type II membrane protein	Single-pass type II membrane protein,Golgi apparatus,Golgi apparatus membrane,Trans-Golgi network membrane
Q11127	Fut4	Golgi apparatus,Golgi stack membrane	Single-pass type II membrane protein	Single-pass type II membrane protein,Golgi apparatus,Golgi stack membrane
Q11131	Fut7	Golgi apparatus,Golgi stack membrane	Single-pass type II membrane protein	Single-pass type II membrane protein,Golgi apparatus,Golgi stack membrane
Q9JL27	Fut2	Golgi apparatus,Golgi stack membrane	Single-pass type II membrane protein	Single-pass type II membrane protein,Golgi apparatus,Golgi stack membrane
Q8CI03	Flywch1	Nucleus		Nucleus
O09160	Fut1	Golgi apparatus,Golgi stack membrane	Single-pass type II membrane protein	Single-pass type II membrane protein,Golgi apparatus,Golgi stack membrane
Q9CQE9	Flywch2			
Q8BHC9	Fut11	Golgi apparatus,Golgi stack membrane	Single-pass type II membrane protein	Single-pass type II membrane protein,Golgi apparatus,Golgi stack membrane
Q9WTS2	Fut8	Golgi apparatus,Golgi stack membrane	Single-pass type II membrane protein	Single-pass type II membrane protein,Golgi apparatus,Golgi stack membrane
Q8C7B6	Fbxl22	Sarcomere,Z line,Cytoplasm,Myofibril		Sarcomere,Z line,Cytoplasm,Myofibril
Q3USW5	Foxred2	Endoplasmic reticulum lumen		Endoplasmic reticulum lumen
A2RT62	Fbxl16			
Q9EPX5	Fbxl12			
Q8BID8	Fbxl14	Cytoplasm		Cytoplasm
Q3UYI6	Fuz	Cytoskeleton,Cytoplasm,Cilium basal body		Cytoskeleton,Cytoplasm,Cilium basal body
Q61835	Fxyd3	Cell membrane	Single-pass type I membrane protein	Single-pass type I membrane protein,Cell membrane
P59648	Fxyd7	Membrane	Single-pass membrane protein	Membrane,Single-pass membrane protein
Q9QZN1	Fbxl17	Nucleus,Cytoplasm		Nucleus,Cytoplasm
P70213	Fv1			
Q9D2W0	Fxyd4	Membrane	Single-pass type I membrane protein	Single-pass type I membrane protein,Membrane
Q61584	Fxr1	Cytosol,Cytoplasm		Cytosol,Cytoplasm
P56959	Fus	Nucleus		Nucleus
Q91W61	Fbxl15	Cytoplasm		Cytoplasm
P97808	Fxyd5	Membrane	Single-pass type I membrane protein	Single-pass type I membrane protein,Membrane
O35601	Fyb1	Nucleus,Cytoplasm,Cell junction		Nucleus,Cytoplasm,Cell junction
Q6PB97	Fbxl19			
Q61086	Fzd3	Cell surface,Apical cell membrane,Cell membrane,Membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell surface,Apical cell membrane,Cell membrane,Membrane
Q61090	Fzd7	Endosome membrane,Cell membrane	Multi-pass membrane protein	Endosome membrane,Multi-pass membrane protein,Cell membrane
Q9WVR4	Fxr2	Cytoplasm		Cytoplasm
Q9D164	Fxyd6	Membrane	Single-pass type I membrane protein	Single-pass type I membrane protein,Membrane
Q8BKG4	Fzd10	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
A2A995	Fyb2	Membrane raft		Membrane raft
Q9CZV8	Fbxl20	Cytoplasm		Cytoplasm
Q3TQB2	Foxred1	Mitochondrion inner membrane	Single-pass membrane protein	Mitochondrion inner membrane,Single-pass membrane protein
Q61091	Fzd8	Golgi apparatus,Cell membrane,Membrane	Multi-pass membrane protein	Multi-pass membrane protein,Golgi apparatus,Cell membrane,Membrane
O70421	Fzd1	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
Q8VDC1	Fyco1	Endosome,Cytoplasmic vesicle,Autophagosome,Lysosome		Endosome,Cytoplasmic vesicle,Autophagosome,Lysosome
Q8BFZ4	Fbxl21	Cytosol,Nucleus,Cytoplasm		Cytosol,Nucleus,Cytoplasm
E9Q343	Gpr137c	Lysosome membrane	Multi-pass membrane protein	Multi-pass membrane protein,Lysosome membrane
Q61088	Fzd4	Cell membrane	Multi-pass membrane protein	Multi-pass membrane protein,Cell membrane
Q9Z1T6	Pikfyve	Endosome membrane,Early endosome membrane,Phagosome membrane,Cytoplasmic vesicle,Late endosome membrane	Peripheral membrane protein	Endosome membrane,Early endosome membrane,Phagosome membrane,Cytoplasmic vesicle,Peripheral membrane protein,Late endosome membrane
