inchi_key	conc	cells	nuclei	prp	gfp
	NA	GFP	838	0.637771451	-1.672048924
	NA	GFP	1072	0.877208748	-12.75614172
UZIATSFXNVOVFE-OAHLLOKOSA-N	0.006292737	GFP	858	-1.171674326	-3.120980807
IYIGLWQQAMROOF-HHHXNRCGSA-N	0.006292737	GFP	855	0.192555235	-1.268841739
BSQHKYLMKDAHEX-GOSISDBHSA-N	0.006292737	GFP	888	0.911378948	-0.514097273
OONFNUWBHFSNBT-HXUWFJFHSA-N	0.006292737	GFP	866	0.977592001	1.517461762
TZUYDLKHNQUNKS-UHFFFAOYSA-N	0.006292737	GFP	744	0.992839917	-0.441585008
GMGMDWSPSKXMJH-OAQYLSRUSA-N	0.006292737	GFP	889	0.385997294	-0.127029523
SXHHURZUIGDYAR-QGZVFWFLSA-N	0.006292737	GFP	806	1.849779809	-0.018175256
QPKKAIMODKGHRH-UHFFFAOYSA-N	0.006292737	GFP	813	1.572169713	-1.086164644
YZRLVRHBPHBXFV-KYJUHHDHSA-N	0.006292737	GFP	820	2.071044173	0.474652524
STRAIBOPIVXLQO-UHFFFAOYSA-N	0.006292737	GFP	899	1.239098283	-0.696886295
ZCMFEWUYBFMLIN-UHFFFAOYSA-N	0.006292737	GFP	813	1.251022217	2.109022139
JRSGZNKDLJKFKK-XMMPIXPASA-N	0.006292737	GFP	724	-1.3708171	-1.215913938
GNKXHXKTZQAERZ-UHFFFAOYSA-N	0.006292737	GFP	740	0.847086392	-0.55691131
CEUMAXLRGBKFQP-UHFFFAOYSA-N	0.006292737	GFP	684	0.839679685	0.266769478
	NA	GFP	685	0.487305481	-0.066720071
	NA	GFP	877	0.344105835	-13.27375828
NEQSWPCDHDQINX-MRXNPFEDSA-N	20	GFP	817	-4.121229876	7.781850666
TXZRKKQUOSAZKF-UHFFFAOYSA-N	20	GFP	971	-1.397856122	3.238939198
GXWKSXUPEFVUOO-UHFFFAOYSA-N	20	GFP	661	-8.583673915	-0.58307278
KLSRELDSEJWOAS-UHFFFAOYSA-N	20	GFP	676	-2.22490497	2.339170892
JFUAWXPBHXKZGA-IBGZPJMESA-N	20	GFP	443	-11.48033212	10.4054758
NRJSHVPDELFHKB-UHFFFAOYSA-N	20	GFP	668	-5.299518769	1.440128882
OCBMECSFDVUYQN-ROUUACIJSA-N	20	GFP	925	-3.082820746	-0.04688908
WJUNQSYQHHIVFX-UHFFFAOYSA-N	20	GFP	53	-2.264258747	-9.053245632
RQVLGMREYUFLPQ-UHFFFAOYSA-N	20	GFP	17	-13.11260142	-17.94758142
BZZYIHQWCXHSMZ-FMSKOOSDSA-N	20	GFP	558	6.5473971	1.382561554
VOASEWXFCTZRDF-UHFFFAOYSA-N	20	GFP	87	-11.29002171	-12.19605704
KXSNSVDPSDYDHW-HXUWFJFHSA-N	20	GFP	762	4.794788964	1.298912185
CLGRAWDGLMENOD-UHFFFAOYSA-N	20	GFP	515	-11.46822731	-5.454844925
XYUYSDBKGVJSKN-UHFFFAOYSA-N	20	GFP	77	-14.83736517	-17.47367734
	NA	GFP	815	-1.152731529	-0.300389813
	NA	GFP	1071	0.166404864	-12.49733318
NEQSWPCDHDQINX-MRXNPFEDSA-N	20	GFP	803	-4.221137564	4.921854671
TXZRKKQUOSAZKF-UHFFFAOYSA-N	20	GFP	797	-1.584299416	0.940570031
GXWKSXUPEFVUOO-UHFFFAOYSA-N	20	GFP	675	-8.70690699	0.171304825
KLSRELDSEJWOAS-UHFFFAOYSA-N	20	GFP	696	-1.201235644	4.156717467
JFUAWXPBHXKZGA-IBGZPJMESA-N	20	GFP	507	-11.34723948	10.42924272
NRJSHVPDELFHKB-UHFFFAOYSA-N	20	GFP	581	-6.042738412	-0.875288744
OCBMECSFDVUYQN-ROUUACIJSA-N	20	GFP	948	-0.964302547	1.539077152
WJUNQSYQHHIVFX-UHFFFAOYSA-N	20	GFP	100	-4.57646696	-11.68734238
RQVLGMREYUFLPQ-UHFFFAOYSA-N	20	GFP	2	-13.03721112	-18.02760757
BZZYIHQWCXHSMZ-FMSKOOSDSA-N	20	GFP	585	7.743376721	3.099962633
VOASEWXFCTZRDF-UHFFFAOYSA-N	20	GFP	88	-13.05857142	-14.56250466
KXSNSVDPSDYDHW-HXUWFJFHSA-N	20	GFP	692	4.997711679	-0.167421999
CLGRAWDGLMENOD-UHFFFAOYSA-N	20	GFP	452	-11.05401698	-5.493199176
XYUYSDBKGVJSKN-UHFFFAOYSA-N	20	GFP	38	-15.04308601	-17.5554488
	NA	GFP	981	0.230570137	2.463539127
	NA	GFP	972	0.344105835	-12.96318835
